Serial Number,Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Test,Population
1,USA," 10,41,96,861.00 "," 11,32,935.00 "," 10,13,22,779.00 "," 17,41,147.00 "," 1,15,98,32,679.00 "," 33,48,05,269.00 "
2,India," 4,46,82,784.00 "," 5,30,740.00 "," 4,41,50,289.00 "," 1,755.00 "," 91,52,65,788.00 "," 1,40,66,31,776.00 "
3,France," 3,95,24,311.00 "," 1,64,233.00 "," 3,92,64,546.00 "," 95,532.00 "," 27,14,90,188.00 "," 6,55,84,518.00 "
4,Germany," 3,77,79,833.00 "," 1,65,711.00 "," 3,73,98,100.00 "," 2,16,022.00 "," 12,23,32,384.00 "," 8,38,83,596.00 "
5,Brazil," 3,68,24,580.00 "," 6,97,074.00 "," 3,59,19,372.00 "," 2,08,134.00 "," 6,37,76,166.00 "," 21,53,53,593.00 "
6,Japan," 3,25,88,442.00 "," 68,399.00 "," 2,15,67,425.00 "," 1,09,52,618.00 "," 9,21,44,639.00 "," 12,55,84,838.00 "
7,S. Korea," 3,01,97,066.00 "," 33,486.00 "," 2,97,40,877.00 "," 4,22,703.00 "," 1,58,04,065.00 "," 5,13,29,899.00 "
8,Italy," 2,54,53,789.00 "," 1,86,833.00 "," 2,50,14,986.00 "," 2,51,970.00 "," 26,54,78,247.00 "," 6,02,62,770.00 "
9,UK," 2,42,74,361.00 "," 2,04,171.00 "," 2,40,20,088.00 "," 50,102.00 "," 52,25,26,476.00 "," 6,84,97,907.00 "
10,Russia," 2,19,58,696.00 "," 3,95,108.00 "," 2,13,56,008.00 "," 2,07,580.00 "," 27,34,00,000.00 "," 14,58,05,947.00 "
11,Turkey," 1,70,42,722.00 "," 1,01,492.00 ", N/A , N/A ," 16,27,43,369.00 "," 8,55,61,976.00 "
12,Spain," 1,37,31,478.00 "," 1,18,434.00 "," 1,35,57,699.00 "," 55,345.00 "," 47,10,36,328.00 "," 4,67,19,142.00 "
13,Vietnam," 1,15,26,508.00 "," 43,186.00 "," 1,06,12,479.00 "," 8,70,843.00 "," 8,58,26,548.00 "," 9,89,53,541.00 "
14,Australia," 1,12,95,446.00 "," 18,615.00 "," 1,12,35,771.00 "," 41,060.00 "," 7,88,35,048.00 "," 2,60,68,792.00 "
15,Argentina," 1,00,37,135.00 "," 1,30,421.00 "," 98,77,032.00 "," 29,682.00 "," 3,57,16,069.00 "," 4,60,10,234.00 "
16,Taiwan," 95,69,611.00 "," 16,356.00 "," 91,29,766.00 "," 4,23,489.00 "," 3,02,07,485.00 "," 2,38,88,595.00 "
17,Netherlands," 85,82,500.00 "," 22,989.00 "," 85,47,771.00 "," 11,740.00 "," 2,59,84,435.00 "," 1,72,11,447.00 "
18,Iran," 75,64,350.00 "," 1,44,749.00 "," 73,37,549.00 "," 82,052.00 "," 5,44,20,785.00 "," 8,60,22,837.00 "
19,Mexico," 73,68,252.00 "," 3,32,198.00 "," 66,06,633.00 "," 4,29,421.00 "," 1,93,56,195.00 "," 13,15,62,772.00 "
20,Indonesia," 67,30,289.00 "," 1,60,817.00 "," 65,65,208.00 "," 4,264.00 "," 11,41,58,919.00 "," 27,91,34,505.00 "
21,Poland," 63,80,225.00 "," 1,18,736.00 "," 53,35,940.00 "," 9,25,549.00 "," 3,81,18,630.00 "," 3,77,39,785.00 "
22,Colombia," 63,56,309.00 "," 1,42,486.00 "," 61,79,501.00 "," 34,322.00 "," 3,69,51,507.00 "," 5,15,12,762.00 "
23,Austria," 57,80,229.00 "," 21,689.00 "," 57,30,189.00 "," 28,351.00 "," 21,12,73,524.00 "," 90,66,710.00 "
24,Greece," 57,08,301.00 "," 35,630.00 "," 56,62,212.00 "," 10,459.00 "," 10,22,28,365.00 "," 1,03,16,637.00 "
25,Portugal," 55,63,907.00 "," 26,022.00 "," 55,32,366.00 "," 5,519.00 "," 4,59,15,651.00 "," 1,01,40,570.00 "
26,Ukraine," 53,70,131.00 "," 1,11,020.00 "," 52,53,302.00 "," 5,809.00 "," 3,26,03,805.00 "," 4,31,92,122.00 "
27,Chile," 51,18,981.00 "," 63,812.00 "," 50,51,555.00 "," 3,614.00 "," 4,81,27,301.00 "," 1,92,50,195.00 "
28,Malaysia," 50,36,593.00 "," 36,942.00 "," 49,89,861.00 "," 9,790.00 "," 6,76,65,089.00 "," 3,31,81,072.00 "
29,Israel," 47,86,189.00 "," 12,193.00 "," 47,68,242.00 "," 5,754.00 "," 4,13,73,364.00 "," 93,26,000.00 "
30,DPRK," 47,72,813.00 ", 74.00 ," 47,72,739.00 ", -   ,," 2,59,90,679.00 "
31,Thailand," 47,26,984.00 "," 33,865.00 "," 46,92,636.00 ", 483.00 ," 1,72,70,775.00 "," 7,00,78,203.00 "
32,Belgium," 46,91,499.00 "," 33,557.00 "," 46,44,681.00 "," 13,261.00 "," 3,65,48,544.00 "," 1,16,68,278.00 "
33,Czechia," 45,90,019.00 "," 42,312.00 "," 45,38,304.00 "," 9,403.00 "," 5,68,93,223.00 "," 1,07,36,784.00 "
34,Canada," 45,50,256.00 "," 50,380.00 "," 44,44,013.00 "," 55,863.00 "," 6,63,43,123.00 "," 3,83,88,419.00 "
35,Peru," 44,81,621.00 "," 2,18,931.00 "," 42,58,688.00 "," 4,002.00 "," 3,77,54,603.00 "," 3,36,84,208.00 "
36,Switzerland," 43,85,701.00 "," 14,452.00 "," 43,66,770.00 "," 4,479.00 "," 2,33,18,743.00 "," 87,73,637.00 "
37,Philippines," 40,73,454.00 "," 65,802.00 "," 39,98,048.00 "," 9,604.00 "," 3,43,43,332.00 "," 11,25,08,994.00 "
38,South Africa," 40,55,966.00 "," 1,02,595.00 "," 39,12,506.00 "," 40,865.00 "," 2,64,73,049.00 "," 6,07,56,135.00 "
